Legend:,,,,
,,,,
1-P =,Untitled 1 Process,,,
,,,,
,,,,
Interval:,1,Seconds,,
DataPoint,LogDate,LogTime,1-P °F,celsius 
160,2/23/2023,6:25:02 PM,504,262.2222222
161,2/23/2023,6:25:03 PM,504,262.2222222
162,2/23/2023,6:25:04 PM,500,260
163,2/23/2023,6:25:05 PM,500,260
164,2/23/2023,6:25:06 PM,500,260
165,2/23/2023,6:25:07 PM,499,259.4444444
166,2/23/2023,6:25:08 PM,496,257.7777778
167,2/23/2023,6:25:09 PM,496,257.7777778
168,2/23/2023,6:25:10 PM,496,257.7777778
169,2/23/2023,6:25:11 PM,495,257.2222222
170,2/23/2023,6:25:12 PM,492,255.5555556
171,2/23/2023,6:25:13 PM,492,255.5555556
172,2/23/2023,6:25:14 PM,492,255.5555556
173,2/23/2023,6:25:15 PM,491,255
174,2/23/2023,6:25:16 PM,488,253.3333333
175,2/23/2023,6:25:17 PM,488,253.3333333
176,2/23/2023,6:25:18 PM,488,253.3333333
177,2/23/2023,6:25:19 PM,487,252.7777778
178,2/23/2023,6:25:20 PM,484,251.1111111
179,2/23/2023,6:25:21 PM,484,251.1111111
180,2/23/2023,6:25:22 PM,484,251.1111111
181,2/23/2023,6:25:23 PM,480,248.8888889
182,2/23/2023,6:25:24 PM,480,248.8888889
183,2/23/2023,6:25:25 PM,480,248.8888889
184,2/23/2023,6:25:26 PM,480,248.8888889
185,2/23/2023,6:25:27 PM,476,246.6666667
186,2/23/2023,6:25:28 PM,476,246.6666667
187,2/23/2023,6:25:29 PM,476,246.6666667
188,2/23/2023,6:25:30 PM,476,246.6666667
189,2/23/2023,6:25:31 PM,476,246.6666667
190,2/23/2023,6:25:32 PM,475,246.1111111
191,2/23/2023,6:25:33 PM,472,244.4444444
192,2/23/2023,6:25:34 PM,472,244.4444444
193,2/23/2023,6:25:35 PM,472,244.4444444
194,2/23/2023,6:25:36 PM,468,242.2222222
195,2/23/2023,6:25:37 PM,468,242.2222222
196,2/23/2023,6:25:38 PM,468,242.2222222
197,2/23/2023,6:25:39 PM,468,242.2222222
198,2/23/2023,6:25:40 PM,467,241.6666667
199,2/23/2023,6:25:41 PM,464,240
200,2/23/2023,6:25:42 PM,464,240
201,2/23/2023,6:25:43 PM,464,240
202,2/23/2023,6:25:44 PM,463,239.4444444
203,2/23/2023,6:25:45 PM,460,237.7777778
204,2/23/2023,6:25:46 PM,460,237.7777778
205,2/23/2023,6:25:47 PM,460,237.7777778
206,2/23/2023,6:25:48 PM,460,237.7777778
207,2/23/2023,6:25:49 PM,459,237.2222222
208,2/23/2023,6:25:50 PM,456,235.5555556
209,2/23/2023,6:25:51 PM,456,235.5555556
210,2/23/2023,6:25:52 PM,456,235.5555556
211,2/23/2023,6:25:53 PM,456,235.5555556
212,2/23/2023,6:25:54 PM,452,233.3333333
213,2/23/2023,6:25:55 PM,452,233.3333333
214,2/23/2023,6:25:56 PM,452,233.3333333
215,2/23/2023,6:25:57 PM,452,233.3333333
216,2/23/2023,6:25:58 PM,451,232.7777778
217,2/23/2023,6:25:59 PM,448,231.1111111
218,2/23/2023,6:26:00 PM,448,231.1111111
219,2/23/2023,6:26:01 PM,448,231.1111111
220,2/23/2023,6:26:02 PM,447,230.5555556
221,2/23/2023,6:26:03 PM,444,228.8888889
222,2/23/2023,6:26:04 PM,444,228.8888889
223,2/23/2023,6:26:05 PM,444,228.8888889
224,2/23/2023,6:26:06 PM,444,228.8888889
225,2/23/2023,6:26:07 PM,444,228.8888889
226,2/23/2023,6:26:08 PM,443,228.3333333
227,2/23/2023,6:26:09 PM,440,226.6666667
228,2/23/2023,6:26:10 PM,440,226.6666667
229,2/23/2023,6:26:11 PM,440,226.6666667
230,2/23/2023,6:26:12 PM,439,226.1111111
231,2/23/2023,6:26:13 PM,439,226.1111111
232,2/23/2023,6:26:14 PM,436,224.4444444
233,2/23/2023,6:26:15 PM,436,224.4444444
234,2/23/2023,6:26:16 PM,436,224.4444444
235,2/23/2023,6:26:17 PM,435,223.8888889
236,2/23/2023,6:26:18 PM,435,223.8888889
237,2/23/2023,6:26:19 PM,432,222.2222222
238,2/23/2023,6:26:20 PM,432,222.2222222
239,2/23/2023,6:26:21 PM,432,222.2222222
240,2/23/2023,6:26:22 PM,431,221.6666667
241,2/23/2023,6:26:23 PM,431,221.6666667
242,2/23/2023,6:26:24 PM,428,220
243,2/23/2023,6:26:25 PM,428,220
244,2/23/2023,6:26:26 PM,428,220
245,2/23/2023,6:26:27 PM,428,220
246,2/23/2023,6:26:28 PM,427,219.4444444
247,2/23/2023,6:26:29 PM,424,217.7777778
248,2/23/2023,6:26:30 PM,424,217.7777778
249,2/23/2023,6:26:31 PM,424,217.7777778
250,2/23/2023,6:26:32 PM,424,217.7777778
251,2/23/2023,6:26:33 PM,423,217.2222222
252,2/23/2023,6:26:34 PM,420,215.5555556
253,2/23/2023,6:26:35 PM,420,215.5555556
254,2/23/2023,6:26:36 PM,420,215.5555556
255,2/23/2023,6:26:37 PM,420,215.5555556
256,2/23/2023,6:26:38 PM,419,215
257,2/23/2023,6:26:39 PM,419,215
258,2/23/2023,6:26:40 PM,416,213.3333333
259,2/23/2023,6:26:41 PM,416,213.3333333
260,2/23/2023,6:26:42 PM,416,213.3333333
261,2/23/2023,6:26:43 PM,416,213.3333333
262,2/23/2023,6:26:44 PM,415,212.7777778
263,2/23/2023,6:26:45 PM,415,212.7777778
264,2/23/2023,6:26:46 PM,412,211.1111111
265,2/23/2023,6:26:47 PM,412,211.1111111
266,2/23/2023,6:26:48 PM,412,211.1111111
267,2/23/2023,6:26:49 PM,412,211.1111111
268,2/23/2023,6:26:50 PM,412,211.1111111
269,2/23/2023,6:26:51 PM,412,211.1111111
270,2/23/2023,6:26:52 PM,411,210.5555556
271,2/23/2023,6:26:53 PM,411,210.5555556
272,2/23/2023,6:26:54 PM,411,210.5555556
273,2/23/2023,6:26:55 PM,411,210.5555556
274,2/23/2023,6:26:56 PM,411,210.5555556
275,2/23/2023,6:26:57 PM,411,210.5555556
276,2/23/2023,6:26:58 PM,411,210.5555556
277,2/23/2023,6:26:59 PM,411,210.5555556
278,2/23/2023,6:27:00 PM,411,210.5555556
279,2/23/2023,6:27:01 PM,411,210.5555556
280,2/23/2023,6:27:02 PM,411,210.5555556
281,2/23/2023,6:27:03 PM,411,210.5555556
282,2/23/2023,6:27:04 PM,411,210.5555556
283,2/23/2023,6:27:05 PM,411,210.5555556
284,2/23/2023,6:27:06 PM,411,210.5555556
285,2/23/2023,6:27:07 PM,411,210.5555556
286,2/23/2023,6:27:08 PM,411,210.5555556
