Test : Rate 1,"2.54000",mm/min
Specimen notes : Specimen note 1,""

Time,Extension,Load
(s),(mm),(kN)
"30.60000","1.29540","3.16224"
"30.70000","1.29971","3.16414"
"30.80000","1.30411","3.16371"
"30.90000","1.30814","3.16373"
"31.00000","1.31236","3.16530"
"31.10000","1.31676","3.16702"
"31.20000","1.32089","3.16606"
"31.30000","1.32501","3.16735"
"31.40000","1.32942","3.17016"
"31.50000","1.33363","3.16962"
"31.60000","1.33766","3.16895"
"31.70000","1.34197","3.17151"
"31.80000","1.34638","3.17223"
"31.90000","1.35041","3.17114"
"32.00000","1.35462","3.17300"
"32.10000","1.35903","3.17404"
"32.20000","1.36324","3.17381"
"32.30000","1.36737","3.17402"
"32.40000","1.37168","3.17667"
"32.50000","1.37599","3.17656"
"32.60000","1.38011","3.17634"
"32.70000","1.38433","3.17828"
"32.80000","1.38873","3.17906"
"32.90000","1.39285","3.17873"
"33.00000","1.39698","3.17991"
"33.10000","1.40138","3.18135"
"33.20000","1.40560","3.18012"
"33.30000","1.40972","3.18098"
"33.40000","1.41394","3.18366"
"33.50000","1.41834","3.18371"
"33.60000","1.42247","3.18355"
"33.70000","1.42659","3.18561"
"33.80000","1.43109","3.18626"
"33.90000","1.43521","3.18580"
"34.00000","1.43933","3.18682"
"34.10000","1.44374","3.18890"
"34.20000","1.44805","3.18742"
"34.30000","1.45208","3.18781"
"34.40000","1.45639","3.19059"
"34.50000","1.46070","3.19061"
"34.60000","1.46482","3.19014"
"34.70000","1.46894","3.19175"
"34.80000","1.47335","3.19287"
"34.90000","1.47757","3.19213"
"35.00000","1.48159","3.19337"
"35.10000","1.48600","3.19516"
"35.20000","1.49031","3.19450"
"35.30000","1.49434","3.19409"
"35.40000","1.49856","3.19659"
"35.50000","1.50296","3.19777"
"35.60000","1.50718","3.19703"
"35.70000","1.51121","3.19831"
"35.80000","1.51561","3.20071"
"35.90000","1.51983","3.19933"
"36.00000","1.52395","3.19940"
"36.10000","1.52826","3.20153"
"36.20000","1.53266","3.20135"
"36.30000","1.53669","3.20066"
"36.40000","1.54091","3.20252"
"36.50000","1.54532","3.20434"
"36.60000","1.54953","3.20318"
"36.70000","1.55365","3.20404"
"36.80000","1.55797","3.20575"
"36.90000","1.56228","3.20569"
"37.00000","1.56631","3.20533"
"37.10000","1.57062","3.20782"
"37.20000","1.57502","3.20761"
"37.30000","1.57905","3.20685"
"37.40000","1.58327","3.20806"
"37.50000","1.58767","3.20989"
"37.60000","1.59179","3.20895"
"37.70000","1.59592","3.21000"
"37.80000","1.60023","3.21200"
"37.90000","1.60463","3.21189"
"38.00000","1.60866","3.21082"
"38.10000","1.61288","3.21377"
"38.20000","1.61738","3.21348"
"38.30000","1.62150","3.21283"
"38.40000","1.62562","3.21416"
"38.50000","1.63003","3.21625"
"38.60000","1.63415","3.21513"
"38.70000","1.63827","3.21528"
"38.80000","1.64258","3.21832"
"38.90000","1.64699","3.21717"
"39.00000","1.65102","3.21708"
"39.10000","1.65523","3.21920"
"39.20000","1.65964","3.21997"
"39.30000","1.66376","3.21844"
"39.40000","1.66788","3.21954"
"39.50000","1.67229","3.22168"
"39.60000","1.67650","3.22042"
"39.70000","1.68063","3.22168"
"39.80000","1.68494","3.22399"
"39.90000","1.68925","3.22347"
"40.00000","1.69337","3.22241"
"40.10000","1.69759","3.22458"
"40.20000","1.70199","3.22524"
"40.30000","1.70612","3.22408"
"40.40000","1.71024","3.22532"
"40.50000","1.71464","3.22681"
"40.60000","1.71895","3.22629"
"40.70000","1.72298","3.22658"
"40.80000","1.72729","3.22937"
"40.90000","1.73160","3.22863"
"41.00000","1.73563","3.22795"
"41.10000","1.73994","3.23006"
"41.20000","1.74435","3.23028"
"41.30000","1.74847","3.22987"
"41.40000","1.75259","3.23035"
"41.50000","1.75700","3.23216"
"41.60000","1.76122","3.23062"
"41.70000","1.76524","3.23238"
"41.80000","1.76965","3.23452"
"41.90000","1.77387","3.23361"
"42.00000","1.77799","3.23300"
"42.10000","1.78221","3.23536"
"42.20000","1.78670","3.23577"
"42.30000","1.79083","3.23465"
"42.40000","1.79495","3.23558"
"42.50000","1.79935","3.23708"
"42.60000","1.80366","3.23564"
"42.70000","1.80769","3.23659"
"42.80000","1.81200","3.23956"
"42.90000","1.81631","3.23887"
"43.00000","1.82044","3.23768"
"43.10000","1.82465","3.23931"
"43.20000","1.82906","3.24069"
"43.30000","1.83309","3.23902"
"43.40000","1.83721","3.23996"
"43.50000","1.84162","3.24182"
"43.60000","1.84583","3.24073"
"43.70000","1.84986","3.24159"
"43.80000","1.85417","3.24376"
"43.90000","1.85867","3.24332"
"44.00000","1.86261","3.24266"
"44.10000","1.86682","3.24398"
"44.20000","1.87132","3.24531"
"44.30000","1.87544","3.24405"
"44.40000","1.87957","3.24549"
"44.50000","1.88397","3.24682"
"44.60000","1.88819","3.24615"
"44.70000","1.89231","3.24626"
"44.80000","1.89662","3.24814"
"44.90000","1.90103","3.24797"
"45.00000","1.90505","3.24715"
"45.10000","1.90927","3.24877"
"45.20000","1.91368","3.24913"
"45.30000","1.91780","3.24857"
"45.40000","1.92192","3.24946"
"45.50000","1.92623","3.25064"
"45.60000","1.93054","3.24949"
"45.70000","1.93457","3.25010"
"45.80000","1.93888","3.25230"
"45.90000","1.94329","3.25174"
"46.00000","1.94732","3.25150"
"46.10000","1.95153","3.25306"
"46.20000","1.95603","3.25378"
"46.30000","1.96006","3.25235"
"46.40000","1.96428","3.25324"
"46.50000","1.96868","3.25505"
"46.60000","1.97299","3.25423"
"46.70000","1.97702","3.25402"
"46.80000","1.98124","3.25581"
"46.90000","1.98564","3.25579"
"47.00000","1.98967","3.25505"
"47.10000","1.99389","3.25742"
"47.20000","1.99839","3.25788"
"47.30000","2.00251","3.25632"
"47.40000","2.00654","3.25773"
"47.50000","2.01094","3.25862"
"47.60000","2.01516","3.25774"
"47.70000","2.01928","3.25820"
"47.80000","2.02359","3.25995"
"47.90000","2.02800","3.26000"
"48.00000","2.03203","3.25935"
"48.10000","2.03624","3.26111"
"48.20000","2.04065","3.26179"
"48.30000","2.04486","3.25993"
"48.40000","2.04889","3.26092"
"48.50000","2.05330","3.26308"
"48.60000","2.05761","3.26150"
"48.70000","2.06164","3.26172"
"48.80000","2.06595","3.26367"
"48.90000","2.07026","3.26361"
"49.00000","2.07438","3.26280"
"49.10000","2.07860","3.26437"
"49.20000","2.08300","3.26481"
"49.30000","2.08713","3.26441"
"49.40000","2.09125","3.26477"
"49.50000","2.09565","3.26621"
"49.60000","2.09987","3.26493"
"49.70000","2.10390","3.26563"
"49.80000","2.10830","3.26664"
"49.90000","2.11271","3.26642"
"50.00000","2.11664","3.26591"
"50.10000","2.12086","3.26798"
"50.20000","2.12527","3.26847"
"50.30000","2.12948","3.26712"
"50.40000","2.13361","3.26807"
"50.50000","2.13801","3.26956"
"50.60000","2.14223","3.26819"
"50.70000","2.14635","3.26856"
"50.80000","2.15066","3.27019"
"50.90000","2.15506","3.26934"
"51.00000","2.15900","3.26918"
"51.10000","2.16322","3.27051"
"51.20000","2.16762","3.27185"
"51.30000","2.17174","3.27010"
"51.40000","2.17587","3.27124"
"51.50000","2.18027","3.27260"
"51.60000","2.18449","3.27166"
"51.70000","2.18861","3.27161"
"51.80000","2.19283","3.27346"
"51.90000","2.19733","3.27387"
"52.00000","2.20135","3.27291"
"52.10000","2.20557","3.27397"
"52.20000","2.20998","3.27497"
"52.30000","2.21419","3.27355"
"52.40000","2.21822","3.27443"
"52.50000","2.22263","3.27539"
"52.60000","2.22694","3.27505"
"52.70000","2.23106","3.27465"
"52.80000","2.23518","3.27628"
"52.90000","2.23968","3.27663"
"53.00000","2.24380","3.27503"
"53.10000","2.24783","3.27637"
"53.20000","2.25224","3.27791"
"53.30000","2.25645","3.27643"
"53.40000","2.26058","3.27630"
"53.50000","2.26489","3.27861"
"53.60000","2.26920","3.27790"
"53.70000","2.27332","3.27711"
"53.80000","2.27754","3.27903"
"53.90000","2.28194","3.27961"
