Test : Rate 1,"2.54000",mm/min
Specimen notes : Specimen note 1,""

Time,Extension,Load
(s),(mm),(kN)
"28.50000","1.20666","4.46521"
"28.60000","1.21078","4.46345"
"28.70000","1.21491","4.46579"
"28.80000","1.21940","4.46733"
"28.90000","1.22353","4.46560"
"29.00000","1.22765","4.46623"
"29.10000","1.23196","4.46924"
"29.20000","1.23627","4.46823"
"29.30000","1.24039","4.46765"
"29.40000","1.24470","4.47042"
"29.50000","1.24901","4.47135"
"29.60000","1.25314","4.46985"
"29.70000","1.25726","4.47175"
"29.80000","1.26167","4.47324"
"29.90000","1.26588","4.47194"
"30.00000","1.26991","4.47250"
"30.10000","1.27432","4.47564"
"30.20000","1.27863","4.47425"
"30.30000","1.28266","4.47366"
"30.40000","1.28697","4.47631"
"30.50000","1.29137","4.47716"
"30.60000","1.29540","4.47544"
"30.70000","1.29962","4.47752"
"30.80000","1.30402","4.47978"
"30.90000","1.30814","4.47770"
"31.00000","1.31227","4.47854"
"31.10000","1.31667","4.48148"
"31.20000","1.32098","4.48073"
"31.30000","1.32510","4.47960"
"31.40000","1.32932","4.48171"
"31.50000","1.33373","4.48266"
"31.60000","1.33785","4.48127"
"31.70000","1.34188","4.48294"
"31.80000","1.34638","4.48536"
"31.90000","1.35050","4.48332"
"32.00000","1.35462","4.48347"
"32.10000","1.35893","4.48646"
"32.20000","1.36334","4.48583"
"32.30000","1.36727","4.48455"
"32.40000","1.37158","4.48727"
"32.50000","1.37599","4.48828"
"32.60000","1.38002","4.48679"
"32.70000","1.38423","4.48845"
"32.80000","1.38864","4.49083"
"32.90000","1.39295","4.48899"
"33.00000","1.39698","4.48923"
"33.10000","1.40129","4.49222"
"33.20000","1.40569","4.49139"
"33.30000","1.40972","4.49034"
"33.40000","1.41394","4.49250"
"33.50000","1.41844","4.49366"
"33.60000","1.42256","4.49151"
"33.70000","1.42659","4.49363"
"33.80000","1.43099","4.49575"
"33.90000","1.43521","4.49421"
"34.00000","1.43924","4.49399"
"34.10000","1.44364","4.49689"
"34.20000","1.44795","4.49652"
"34.30000","1.45208","4.49540"
"34.40000","1.45620","4.49765"
"34.50000","1.46060","4.49873"
"34.60000","1.46473","4.49697"
"34.70000","1.46894","4.49870"
"34.80000","1.47325","4.50116"
"34.90000","1.47757","4.49944"
"35.00000","1.48159","4.49934"
"35.10000","1.48600","4.50215"
"35.20000","1.49040","4.50155"
"35.30000","1.49434","4.50042"
"35.40000","1.49865","4.50269"
"35.50000","1.50305","4.50326"
"35.60000","1.50718","4.50183"
"35.70000","1.51130","4.50276"
"35.80000","1.51570","4.50563"
"35.90000","1.51983","4.50419"
"36.00000","1.52395","4.50401"
"36.10000","1.52826","4.50664"
"36.20000","1.53257","4.50670"
"36.30000","1.53669","4.50496"
"36.40000","1.54091","4.50711"
"36.50000","1.54532","4.50850"
"36.60000","1.54944","4.50671"
"36.70000","1.55356","4.50787"
"36.80000","1.55797","4.51049"
"36.90000","1.56228","4.50881"
"37.00000","1.56631","4.50889"
"37.10000","1.57062","4.51165"
"37.20000","1.57502","4.51059"
"37.30000","1.57905","4.50968"
"37.40000","1.58327","4.51170"
"37.50000","1.58767","4.51304"
"37.60000","1.59189","4.51103"
"37.70000","1.59592","4.51191"
"37.80000","1.60032","4.51451"
"37.90000","1.60454","4.51323"
"38.00000","1.60866","4.51295"
"38.10000","1.61297","4.51603"
"38.20000","1.61728","4.51536"
"38.30000","1.62131","4.51400"
"38.40000","1.62553","4.51609"
"38.50000","1.62993","4.51734"
"38.60000","1.63406","4.51528"
"38.70000","1.63818","4.51644"
"38.80000","1.64268","4.51899"
"38.90000","1.64689","4.51812"
"39.00000","1.65092","4.51749"
"39.10000","1.65533","4.52017"
"39.20000","1.65964","4.52003"
"39.30000","1.66367","4.51881"
"39.40000","1.66798","4.52068"
"39.50000","1.67238","4.52201"
"39.60000","1.67650","4.51979"
"39.70000","1.68063","4.52053"
"39.80000","1.68503","4.52292"
"39.90000","1.68925","4.52173"
"40.00000","1.69328","4.52165"
"40.10000","1.69759","4.52420"
"40.20000","1.70199","4.52434"
"40.30000","1.70602","4.52226"
"40.40000","1.71024","4.52443"
"40.50000","1.71455","4.52582"
"40.60000","1.71877","4.52404"
"40.70000","1.72289","4.52438"
"40.80000","1.72729","4.52700"
"40.90000","1.73160","4.52572"
"41.00000","1.73563","4.52525"
"41.10000","1.73994","4.52807"
"41.20000","1.74435","4.52826"
"41.30000","1.74847","4.52659"
"41.40000","1.75259","4.52800"
"41.50000","1.75700","4.52994"
"41.60000","1.76122","4.52808"
"41.70000","1.76524","4.52788"
"41.80000","1.76965","4.53079"
"41.90000","1.77405","4.53022"
"42.00000","1.77799","4.52886"
"42.10000","1.78221","4.53153"
"42.20000","1.78661","4.53282"
"42.30000","1.79073","4.53075"
"42.40000","1.79486","4.53130"
"42.50000","1.79917","4.53360"
"42.60000","1.80357","4.53263"
"42.70000","1.80751","4.53204"
"42.80000","1.81182","4.53498"
"42.90000","1.81622","4.53431"
"43.00000","1.82034","4.53333"
"43.10000","1.82456","4.53477"
"43.20000","1.82887","4.53717"
"43.30000","1.83318","4.53498"
"43.40000","1.83730","4.53520"
"43.50000","1.84162","4.53763"
"43.60000","1.84593","4.53677"
"43.70000","1.84996","4.53559"
"43.80000","1.85417","4.53776"
"43.90000","1.85858","4.53846"
"44.00000","1.86279","4.53634"
"44.10000","1.86692","4.53774"
"44.20000","1.87123","4.54065"
"44.30000","1.87554","4.53874"
"44.40000","1.87947","4.53845"
"44.50000","1.88388","4.54069"
"44.60000","1.88819","4.54034"
"44.70000","1.89231","4.53911"
"44.80000","1.89653","4.54078"
"44.90000","1.90093","4.54232"
"45.00000","1.90505","4.54019"
"45.10000","1.90918","4.54087"
"45.20000","1.91358","4.54379"
"45.30000","1.91789","4.54281"
"45.40000","1.92192","4.54149"
"45.50000","1.92623","4.54394"
"45.60000","1.93064","4.54423"
"45.70000","1.93476","4.54268"
"45.80000","1.93888","4.54377"
"45.90000","1.94329","4.54574"
"46.00000","1.94741","4.54373"
"46.10000","1.95153","4.54395"
"46.20000","1.95584","4.54712"
"46.30000","1.96025","4.54628"
"46.40000","1.96428","4.54500"
"46.50000","1.96849","4.54703"
"46.60000","1.97290","4.54785"
"46.70000","1.97693","4.54629"
"46.80000","1.98114","4.54696"
"46.90000","1.98555","4.54929"
"47.00000","1.98977","4.54821"
"47.10000","1.99379","4.54716"
"47.20000","1.99811","4.55036"
"47.30000","2.00260","4.55028"
"47.40000","2.00663","4.54871"
"47.50000","2.01085","4.55041"
"47.60000","2.01525","4.55200"
"47.70000","2.01938","4.54965"
"47.80000","2.02350","4.54999"
"47.90000","2.02790","4.55254"
"48.00000","2.03212","4.55125"
"48.10000","2.03624","4.55027"
"48.20000","2.04046","4.55245"
"48.30000","2.04486","4.55295"
"48.40000","2.04889","4.55186"
"48.50000","2.05311","4.55281"
"48.60000","2.05752","4.55514"
"48.70000","2.06173","4.55281"
"48.80000","2.06576","4.55289"
"48.90000","2.07017","4.55545"
"49.00000","2.07448","4.55474"
"49.10000","2.07860","4.55329"
"49.20000","2.08282","4.55519"
"49.30000","2.08722","4.55708"
"49.40000","2.09134","4.55488"
"49.50000","2.09547","4.55534"
"49.60000","2.09987","4.55836"
"49.70000","2.10409","4.55636"
"49.80000","2.10812","4.55605"
"49.90000","2.11243","4.55840"
"50.00000","2.11683","4.55790"
"50.10000","2.12086","4.55661"
"50.20000","2.12508","4.55850"
"50.30000","2.12948","4.55955"
"50.40000","2.13361","4.55784"
"50.50000","2.13773","4.55928"
"50.60000","2.14213","4.56156"
"50.70000","2.14644","4.55947"
"50.80000","2.15047","4.55868"
"50.90000","2.15478","4.56121"
"51.00000","2.15919","4.56155"
"51.10000","2.16331","4.55940"
"51.20000","2.16743","4.56138"
"51.30000","2.17184","4.56253"
"51.40000","2.17605","4.56084"
"51.50000","2.18018","4.56163"
"51.60000","2.18449","4.56419"
"51.70000","2.18880","4.56292"
"51.80000","2.19283","4.56143"
"51.90000","2.19714","4.56385"
"52.00000","2.20145","4.56419"
"52.10000","2.20557","4.56274"
"52.20000","2.20979","4.56460"
"52.30000","2.21419","4.56554"
"52.40000","2.21832","4.56343"
"52.50000","2.22244","4.56445"
"52.60000","2.22684","4.56715"
"52.70000","2.23115","4.56552"
"52.80000","2.23518","4.56465"
"52.90000","2.23949","4.56744"
"53.00000","2.24390","4.56682"
"53.10000","2.24793","4.56514"
"53.20000","2.25214","4.56702"
"53.30000","2.25655","4.56831"
"53.40000","2.26067","4.56611"
"53.50000","2.26479","4.56717"
"53.60000","2.26920","4.56968"
"53.70000","2.27351","4.56767"
"53.80000","2.27744","4.56698"
"53.90000","2.28176","4.56938"
"54.00000","2.28616","4.56891"
"54.10000","2.29019","4.56811"
"54.20000","2.29441","4.57012"
"54.30000","2.29881","4.57116"
"54.40000","2.30303","4.56918"
"54.50000","2.30715","4.57023"
"54.60000","2.31146","4.57309"
"54.70000","2.31577","4.57154"
"54.80000","2.31980","4.57002"
"54.90000","2.32411","4.57271"
"55.00000","2.32851","4.57261"
"55.10000","2.33254","4.57026"
"55.20000","2.33676","4.57212"
"55.30000","2.34117","4.57336"
"55.40000","2.34538","4.57174"
"55.50000","2.34941","4.57233"
"55.60000","2.35382","4.57513"
"55.70000","2.35813","4.57331"
"55.80000","2.36216","4.57282"
"55.90000","2.36647","4.57497"
"56.00000","2.37087","4.57524"
"56.10000","2.37499","4.57295"
"56.20000","2.37912","4.57488"
"56.30000","2.38343","4.57630"
"56.40000","2.38774","4.57434"
"56.50000","2.39177","4.57439"
"56.60000","2.39608","4.57738"
"56.70000","2.40039","4.57624"
"56.80000","2.40451","4.57520"
"56.90000","2.40873","4.57761"
"57.00000","2.41323","4.57748"
"57.10000","2.41725","4.57544"
"57.20000","2.42147","4.57715"
"57.30000","2.42588","4.57878"
"57.40000","2.43009","4.57665"
"57.50000","2.43412","4.57683"
"57.60000","2.43853","4.57949"
"57.70000","2.44284","4.57893"
"57.80000","2.44687","4.57750"
"57.90000","2.45108","4.57965"
"58.00000","2.45549","4.58031"
"58.10000","2.45961","4.57786"
"58.20000","2.46373","4.57920"
"58.30000","2.46814","4.58105"
"58.40000","2.47235","4.57925"
"58.50000","2.47648","4.57911"
"58.60000","2.48079","4.58156"
"58.70000","2.48510","4.58109"
"58.80000","2.48913","4.57966"
"58.90000","2.49344","4.58212"
"59.00000","2.49784","4.58243"
"59.10000","2.50197","4.58030"
"59.20000","2.50609","4.58173"
"59.30000","2.51049","4.58347"
"59.40000","2.51471","4.58141"
"59.50000","2.51883","4.58168"
"59.60000","2.52314","4.58419"
"59.70000","2.52755","4.58363"
"59.80000","2.53148","4.58257"
"59.90000","2.53579","4.58468"
"60.00000","2.54020","4.58490"
"60.10000","2.54423","4.58267"
"60.20000","2.54844","4.58400"
"60.30000","2.55285","4.58560"
"60.40000","2.55697","4.58400"
"60.50000","2.56109","4.58393"
"60.60000","2.56540","4.58646"
"60.70000","2.56981","4.58530"
"60.80000","2.57384","4.58479"
"60.90000","2.57806","4.58685"
"61.00000","2.58246","4.58696"
"61.10000","2.58658","4.58524"
"61.20000","2.59080","4.58596"
"61.30000","2.59520","4.58788"
"61.40000","2.59942","4.58600"
"61.50000","2.60345","4.58645"
"61.60000","2.60785","4.58829"
"61.70000","2.61216","4.58733"
"61.80000","2.61619","4.58610"
"61.90000","2.62041","4.58877"
"62.00000","2.62481","4.58903"
"62.10000","2.62894","4.58701"
"62.20000","2.63306","4.58846"
"62.30000","2.63747","4.59017"
"62.40000","2.64168","4.58833"
"62.50000","2.64581","4.58816"
"62.60000","2.65012","4.59037"
"62.70000","2.65452","4.58950"
"62.80000","2.65846","4.58838"
"62.90000","2.66277","4.59111"
"63.00000","2.66717","4.59168"
"63.10000","2.67129","4.58951"
"63.20000","2.67542","4.59000"
"63.30000","2.67982","4.59243"
"63.40000","2.68413","4.59066"
"63.50000","2.68816","4.59030"
"63.60000","2.69247","4.59275"
"63.70000","2.69688","4.59213"
"63.80000","2.70090","4.59002"
"63.90000","2.70512","4.59234"
"64.00000","2.70953","4.59360"
"64.10000","2.71365","4.59161"
"64.20000","2.71768","4.59205"
"64.30000","2.72208","4.59411"
"64.40000","2.72639","4.59292"
"64.50000","2.73042","4.59228"
"64.60000","2.73473","4.59452"
"64.70000","2.73914","4.59433"
"64.80000","2.74326","4.59217"
"64.90000","2.74738","4.59393"
"65.00000","2.75179","4.59607"
"65.10000","2.75600","4.59365"
"65.20000","2.76013","4.59370"
"65.30000","2.76444","4.59605"
"65.40000","2.76884","4.59495"
"65.50000","2.77287","4.59358"
"65.60000","2.77709","4.59589"
"65.70000","2.78149","4.59692"
"65.80000","2.78562","4.59446"
"65.90000","2.78974","4.59471"
"66.00000","2.79405","4.59766"
"66.10000","2.79836","4.59599"
"66.20000","2.80239","4.59537"
"66.30000","2.80670","4.59718"
"66.40000","2.81101","4.59745"
"66.50000","2.81523","4.59566"
"66.60000","2.81935","4.59708"
"66.70000","2.82375","4.59872"
"66.80000","2.82797","4.59605"
"66.90000","2.83209","4.59680"
"67.00000","2.83640","4.59938"
"67.10000","2.84071","4.59851"
"67.20000","2.84474","4.59699"
"67.30000","2.84905","4.59915"
"67.40000","2.85346","4.59990"
"67.50000","2.85758","4.59717"
"67.60000","2.86171","4.59856"
"67.70000","2.86611","4.60065"
"67.80000","2.87042","4.59873"
"67.90000","2.87436","4.59799"
"68.00000","2.87876","4.60051"
"68.10000","2.88307","4.60065"
"68.20000","2.88710","4.59863"
"68.30000","2.89132","4.60019"
"68.40000","2.89572","4.60158"
"68.50000","2.89994","4.59954"
"68.60000","2.90397","4.60010"
"68.70000","2.90837","4.60230"
"68.80000","2.91268","4.60076"
"68.90000","2.91671","4.59969"
"69.00000","2.92102","4.60161"
"69.10000","2.92543","4.60241"
"69.20000","2.92955","4.60045"
"69.30000","2.93367","4.60187"
"69.40000","2.93808","4.60332"
"69.50000","2.94229","4.60138"
"69.60000","2.94632","4.60143"
"69.70000","2.95073","4.60375"
"69.80000","2.95504","4.60265"
"69.90000","2.95907","4.60099"
"70.00000","2.96338","4.60303"
"70.10000","2.96778","4.60371"
"70.20000","2.97190","4.60164"
"70.30000","2.97603","4.60270"
"70.40000","2.98034","4.60475"
"70.50000","2.98455","4.60286"
"70.60000","2.98868","4.60264"
"70.70000","2.99299","4.60513"
"70.80000","2.99739","4.60398"
"70.90000","3.00152","4.60274"
"71.00000","3.00564","4.60439"
"71.10000","3.01014","4.60554"
"71.20000","3.01426","4.60345"
"71.30000","3.01838","4.60444"
"71.40000","3.02269","4.60635"
"71.50000","3.02710","4.60489"
"71.60000","3.03103","4.60353"
"71.70000","3.03534","4.60558"
"71.80000","3.03965","4.60569"
"71.90000","3.04387","4.60405"
"72.00000","3.04790","4.60503"
"72.10000","3.05240","4.60702"
"72.20000","3.05652","4.60529"
"72.30000","3.06064","4.60576"
"72.40000","3.06495","4.60784"
"72.50000","3.06927","4.60711"
"72.60000","3.07339","4.60558"
"72.70000","3.07761","4.60770"
"72.80000","3.08201","4.60809"
"72.90000","3.08613","4.60586"
"73.00000","3.09035","4.60695"
"73.10000","3.09466","4.60843"
"73.20000","3.09897","4.60641"
"73.30000","3.10300","4.60673"
"73.40000","3.10731","4.60914"
"73.50000","3.11171","4.60819"
"73.60000","3.11574","4.60641"
"73.70000","3.11996","4.60868"
"73.80000","3.12436","4.60941"
"73.90000","3.12849","4.60691"
"74.00000","3.13261","4.60789"
"74.10000","3.13701","4.60979"
"74.20000","3.14133","4.60772"
"74.30000","3.14526","4.60767"
"74.40000","3.14957","4.60994"
"74.50000","3.15398","4.60976"
"74.60000","3.15801","4.60799"
"74.70000","3.16222","4.60982"
"74.80000","3.16672","4.61067"
"74.90000","3.17084","4.60832"
"75.00000","3.17497","4.60910"
"75.10000","3.17937","4.61118"
"75.20000","3.18368","4.60975"
"75.30000","3.18771","4.60887"
"75.40000","3.19202","4.61126"
"75.50000","3.19633","4.61107"
"75.60000","3.20045","4.60903"
"75.70000","3.20458","4.61102"
"75.80000","3.20898","4.61187"
"75.90000","3.21320","4.61007"
"76.00000","3.21723","4.61046"
"76.10000","3.22173","4.61256"
"76.20000","3.22594","4.61107"
"76.30000","3.22997","4.60976"
"76.40000","3.23428","4.61241"
"76.50000","3.23869","4.61238"
"76.60000","3.24272","4.61057"
"76.70000","3.24693","4.61230"
"76.80000","3.25134","4.61314"
"76.90000","3.25546","4.61093"
"77.00000","3.25968","4.61172"
"77.10000","3.26399","4.61384"
"77.20000","3.26830","4.61236"
"77.30000","3.27233","4.61128"
"77.40000","3.27664","4.61392"
"77.50000","3.28104","4.61392"
"77.60000","3.28507","4.61159"
"77.70000","3.28929","4.61364"
"77.80000","3.29369","4.61440"
"77.90000","3.29782","4.61184"
"78.00000","3.30194","4.61286"
"78.10000","3.30634","4.61473"
"78.20000","3.31056","4.61278"
"78.30000","3.31468","4.61224"
"78.40000","3.31899","4.61445"
"78.50000","3.32330","4.61428"
"78.60000","3.32743","4.61268"
"78.70000","3.33155","4.61471"
"78.80000","3.33605","4.61560"
"78.90000","3.34017","4.61342"
"79.00000","3.34429","4.61362"
"79.10000","3.34870","4.61596"
"79.20000","3.35292","4.61382"
"79.30000","3.35694","4.61382"
"79.40000","3.36135","4.61550"
"79.50000","3.36566","4.61569"
"79.60000","3.36978","4.61374"
"79.70000","3.37391","4.61524"
"79.80000","3.37831","4.61648"
"79.90000","3.38253","4.61402"
"80.00000","3.38665","4.61468"
"80.10000","3.39096","4.61664"
"80.20000","3.39527","4.61536"
"80.30000","3.39930","4.61429"
"80.40000","3.40361","4.61624"
"80.50000","3.40801","4.61643"
"80.60000","3.41214","4.61471"
"80.70000","3.41626","4.61632"
"80.80000","3.42067","4.61745"
"80.90000","3.42488","4.61542"
"81.00000","3.42891","4.61568"
"81.10000","3.43332","4.61765"
"81.20000","3.43763","4.61666"
